Data Table for Daily Case Trends - North Carolina,,,,
Date generated: Sat Mar 05 2022 21:13:21 GMT-0500 (Eastern Standard Time),,,,
State,Date,New Cases,7-day Moving Avg,Day
North Carolina,Mar  4 2022,2646,1368,733
North Carolina,Mar  3 2022,2377,1503,732
North Carolina,Mar  2 2022,2243,1649,731
North Carolina,Mar  1 2022,1231,1829,730
North Carolina,Feb 28 2022,6113,1948,729
North Carolina,Feb 27 2022,0,2066,728
North Carolina,Feb 26 2022,0,2225,727
North Carolina,Feb 25 2022,4887,2415,726
North Carolina,Feb 24 2022,3650,2625,725
North Carolina,Feb 23 2022,3470,2945,724
North Carolina,Feb 22 2022,737,3192,723
North Carolina,Feb 21 2022,1352,3370,722
North Carolina,Feb 20 2022,2292,3534,721
North Carolina,Feb 19 2022,3040,3757,720
North Carolina,Feb 18 2022,3749,4134,719
North Carolina,Feb 17 2022,4415,4504,718
North Carolina,Feb 16 2022,4349,4908,717
North Carolina,Feb 15 2022,3089,5383,716
North Carolina,Feb 14 2022,2627,5907,715
North Carolina,Feb 13 2022,3898,6191,714
North Carolina,Feb 12 2022,5718,6626,713
North Carolina,Feb 11 2022,6310,7233,712
North Carolina,Feb 10 2022,7337,7961,711
North Carolina,Feb  9 2022,7638,8807,710
North Carolina,Feb  8 2022,6486,9587,709
North Carolina,Feb  7 2022,4618,10032,708
North Carolina,Feb  6 2022,6851,10425,707
North Carolina,Feb  5 2022,9985,11120,706
North Carolina,Feb  4 2022,11233,12469,705
North Carolina,Feb  3 2022,12952,13883,704
North Carolina,Feb  2 2022,12747,15594,703
North Carolina,Feb  1 2022,9740,16871,702
North Carolina,Jan 31 2022,7348,17963,701
North Carolina,Jan 30 2022,11735,18548,700
North Carolina,Jan 29 2022,19070,19766,699
North Carolina,Jan 28 2022,21234,22094,698
North Carolina,Jan 27 2022,24769,24481,697
North Carolina,Jan 26 2022,21520,25964,696
North Carolina,Jan 25 2022,17018,26254,695
North Carolina,Jan 24 2022,11151,26380,694
North Carolina,Jan 23 2022,20173,27910,693
North Carolina,Jan 22 2022,34836,30102,692
North Carolina,Jan 21 2022,37448,30414,691
North Carolina,Jan 20 2022,34048,30297,690
North Carolina,Jan 19 2022,23424,30633,689
North Carolina,Jan 18 2022,18123,31782,688
North Carolina,Jan 17 2022,22133,32843,687
