Data Table for Daily Death Trends - North Carolina,,,
Date generated: Sat Mar 05 2022 21:13:50 GMT-0500 (Eastern Standard Time),,,
State,Date,New Deaths,Day
North Carolina,Mar  4 2022,38,733
North Carolina,Mar  3 2022,54,732
North Carolina,Mar  2 2022,63,731
North Carolina,Mar  1 2022,38,730
North Carolina,Feb 28 2022,70,729
North Carolina,Feb 27 2022,0,728
North Carolina,Feb 26 2022,0,727
North Carolina,Feb 25 2022,51,726
North Carolina,Feb 24 2022,59,725
North Carolina,Feb 23 2022,94,724
North Carolina,Feb 22 2022,1,723
North Carolina,Feb 21 2022,2,722
North Carolina,Feb 20 2022,6,721
North Carolina,Feb 19 2022,10,720
North Carolina,Feb 18 2022,10,719
North Carolina,Feb 17 2022,23,718
North Carolina,Feb 16 2022,27,717
North Carolina,Feb 15 2022,30,716
North Carolina,Feb 14 2022,44,715
North Carolina,Feb 13 2022,45,714
North Carolina,Feb 12 2022,40,713
North Carolina,Feb 11 2022,53,712
North Carolina,Feb 10 2022,36,711
North Carolina,Feb  9 2022,59,710
North Carolina,Feb  8 2022,66,709
North Carolina,Feb  7 2022,65,708
North Carolina,Feb  6 2022,51,707
North Carolina,Feb  5 2022,88,706
North Carolina,Feb  4 2022,72,705
North Carolina,Feb  3 2022,49,704
North Carolina,Feb  2 2022,46,703
North Carolina,Feb  1 2022,53,702
North Carolina,Jan 31 2022,53,701
North Carolina,Jan 30 2022,73,700
North Carolina,Jan 29 2022,82,699
North Carolina,Jan 28 2022,75,698
North Carolina,Jan 27 2022,73,697
North Carolina,Jan 26 2022,85,696
North Carolina,Jan 25 2022,75,695
North Carolina,Jan 24 2022,66,694
North Carolina,Jan 23 2022,57,693
North Carolina,Jan 22 2022,55,692
North Carolina,Jan 21 2022,81,691
North Carolina,Jan 20 2022,56,690
North Carolina,Jan 19 2022,72,689
North Carolina,Jan 18 2022,46,688
North Carolina,Jan 17 2022,64,687
North Carolina,Jan 16 2022,58,686
North Carolina,Jan 15 2022,62,685
North Carolina,Jan 14 2022,51,684
North Carolina,Jan 13 2022,46,683
North Carolina,Jan 12 2022,49,682
North Carolina,Jan 11 2022,50,681
North Carolina,Jan 10 2022,43,680
North Carolina,Jan  9 2022,43,679
North Carolina,Jan  8 2022,44,678
North Carolina,Jan  7 2022,41,677
North Carolina,Jan  6 2022,40,676
North Carolina,Jan  5 2022,36,675
North Carolina,Jan  4 2022,35,674
North Carolina,Jan  3 2022,41,673
North Carolina,Jan  2 2022,24,672
North Carolina,Jan  1 2022,19,671
North Carolina,Dec 31 2021,35,670
North Carolina,Dec 30 2021,23,669
North Carolina,Dec 29 2021,32,668
North Carolina,Dec 28 2021,29,667
North Carolina,Dec 27 2021,26,666
North Carolina,Dec 26 2021,28,665
North Carolina,Dec 25 2021,26,664
North Carolina,Dec 24 2021,26,663
North Carolina,Dec 23 2021,35,662
North Carolina,Dec 22 2021,31,661
North Carolina,Dec 21 2021,22,660
North Carolina,Dec 20 2021,27,659
North Carolina,Dec 19 2021,19,658
North Carolina,Dec 18 2021,26,657
North Carolina,Dec 17 2021,26,656
North Carolina,Dec 16 2021,23,655
North Carolina,Dec 15 2021,30,654
North Carolina,Dec 14 2021,26,653
North Carolina,Dec 13 2021,16,652
North Carolina,Dec 12 2021,18,651
North Carolina,Dec 11 2021,16,650
North Carolina,Dec 10 2021,29,649
North Carolina,Dec  9 2021,25,648
North Carolina,Dec  8 2021,14,647
North Carolina,Dec  7 2021,19,646
North Carolina,Dec  6 2021,20,645
North Carolina,Dec  5 2021,21,644
North Carolina,Dec  4 2021,21,643
North Carolina,Dec  3 2021,17,642
North Carolina,Dec  2 2021,18,641
North Carolina,Dec  1 2021,14,640
North Carolina,Nov 30 2021,11,639
North Carolina,Nov 29 2021,16,638
North Carolina,Nov 28 2021,27,637
North Carolina,Nov 27 2021,18,636
North Carolina,Nov 26 2021,20,635
North Carolina,Nov 25 2021,14,634
North Carolina,Nov 24 2021,18,633
North Carolina,Nov 23 2021,18,632
North Carolina,Nov 22 2021,20,631
North Carolina,Nov 21 2021,18,630
North Carolina,Nov 20 2021,16,629
North Carolina,Nov 19 2021,23,628
North Carolina,Nov 18 2021,19,627
North Carolina,Nov 17 2021,18,626
North Carolina,Nov 16 2021,18,625
North Carolina,Nov 15 2021,9,624
North Carolina,Nov 14 2021,9,623
North Carolina,Nov 13 2021,18,622
North Carolina,Nov 12 2021,22,621
North Carolina,Nov 11 2021,14,620
North Carolina,Nov 10 2021,16,619
North Carolina,Nov  9 2021,22,618
North Carolina,Nov  8 2021,16,617
North Carolina,Nov  7 2021,19,616
North Carolina,Nov  6 2021,20,615
North Carolina,Nov  5 2021,26,614
North Carolina,Nov  4 2021,20,613
North Carolina,Nov  3 2021,26,612
North Carolina,Nov  2 2021,25,611
North Carolina,Nov  1 2021,22,610
North Carolina,Oct 31 2021,28,609
North Carolina,Oct 30 2021,28,608
North Carolina,Oct 29 2021,26,607
