Data Table for Total Cases - North Carolina,,,
Date generated: Sat Mar 05 2022 21:15:09 GMT-0500 (Eastern Standard Time),,,
State,Date,Total Cases,Day
North Carolina,Mar  4 2022,2598014,733
North Carolina,Mar  3 2022,2595368,732
North Carolina,Mar  2 2022,2592991,731
North Carolina,Mar  1 2022,2590748,730
North Carolina,Feb 28 2022,2589517,729
North Carolina,Feb 27 2022,2583404,728
North Carolina,Feb 26 2022,2583404,727
North Carolina,Feb 25 2022,2583404,726
North Carolina,Feb 24 2022,2578517,725
North Carolina,Feb 23 2022,2574867,724
North Carolina,Feb 22 2022,2571397,723
North Carolina,Feb 21 2022,2570660,722
North Carolina,Feb 20 2022,2569308,721
North Carolina,Feb 19 2022,2567016,720
North Carolina,Feb 18 2022,2563976,719
North Carolina,Feb 17 2022,2560227,718
North Carolina,Feb 16 2022,2555812,717
North Carolina,Feb 15 2022,2551463,716
North Carolina,Feb 14 2022,2548374,715
North Carolina,Feb 13 2022,2545747,714
North Carolina,Feb 12 2022,2541849,713
North Carolina,Feb 11 2022,2536131,712
North Carolina,Feb 10 2022,2529821,711
North Carolina,Feb  9 2022,2522484,710
North Carolina,Feb  8 2022,2514846,709
North Carolina,Feb  7 2022,2508360,708
North Carolina,Feb  6 2022,2503742,707
North Carolina,Feb  5 2022,2496891,706
North Carolina,Feb  4 2022,2486906,705
North Carolina,Feb  3 2022,2475673,704
North Carolina,Feb  2 2022,2462721,703
North Carolina,Feb  1 2022,2449974,702
North Carolina,Jan 31 2022,2440234,701
North Carolina,Jan 30 2022,2432886,700
North Carolina,Jan 29 2022,2421151,699
North Carolina,Jan 28 2022,2402081,698
North Carolina,Jan 27 2022,2380847,697
North Carolina,Jan 26 2022,2356078,696
North Carolina,Jan 25 2022,2334558,695
North Carolina,Jan 24 2022,2317540,694
North Carolina,Jan 23 2022,2306389,693
North Carolina,Jan 22 2022,2286216,692
North Carolina,Jan 21 2022,2251380,691
North Carolina,Jan 20 2022,2213932,690
North Carolina,Jan 19 2022,2179884,689
North Carolina,Jan 18 2022,2156460,688
North Carolina,Jan 17 2022,2138337,687
North Carolina,Jan 16 2022,2116204,686
