Data Table for Total Deaths - North Carolina,,,,
Date generated: Sat Mar 05 2022 21:14:47 GMT-0500 (Eastern Standard Time),,,,
State,Date,Total Deaths,Current Hospitalized COVID-19 Patients,Day
North Carolina,Mar  4 2022,22763,N/A,733
North Carolina,Mar  3 2022,22725,N/A,732
North Carolina,Mar  2 2022,22671,1606.71,731
North Carolina,Mar  1 2022,22608,1709.29,730
North Carolina,Feb 28 2022,22570,1804.86,729
North Carolina,Feb 27 2022,22500,1903.43,728
North Carolina,Feb 26 2022,22500,2018,727
North Carolina,Feb 25 2022,22500,2121,726
North Carolina,Feb 24 2022,22449,2226.29,725
North Carolina,Feb 23 2022,22390,2333,724
North Carolina,Feb 22 2022,22296,2438.43,723
North Carolina,Feb 21 2022,22295,2544.86,722
North Carolina,Feb 20 2022,22293,2657.71,721
North Carolina,Feb 19 2022,22287,2764,720
North Carolina,Feb 18 2022,22277,2874.14,719
North Carolina,Feb 17 2022,22267,2995.57,718
North Carolina,Feb 16 2022,22244,3126.14,717
North Carolina,Feb 15 2022,22217,3266.86,716
North Carolina,Feb 14 2022,22187,3401,715
North Carolina,Feb 13 2022,22143,3529.86,714
North Carolina,Feb 12 2022,22098,3662,713
North Carolina,Feb 11 2022,22058,3796.71,712
North Carolina,Feb 10 2022,22005,3930.29,711
North Carolina,Feb  9 2022,21969,4055.29,710
North Carolina,Feb  8 2022,21910,4177.43,709
North Carolina,Feb  7 2022,21844,4299.14,708
North Carolina,Feb  6 2022,21779,4422.43,707
North Carolina,Feb  5 2022,21728,4534.71,706
North Carolina,Feb  4 2022,21640,4644.57,705
North Carolina,Feb  3 2022,21568,4739,704
North Carolina,Feb  2 2022,21519,4817.29,703
North Carolina,Feb  1 2022,21473,4890.86,702
North Carolina,Jan 31 2022,21420,4932.14,701
North Carolina,Jan 30 2022,21367,4954.29,700
North Carolina,Jan 29 2022,21294,4954.29,699
North Carolina,Jan 28 2022,21212,4941.29,698
North Carolina,Jan 27 2022,21137,4921,697
North Carolina,Jan 26 2022,21064,4895.86,696
North Carolina,Jan 25 2022,20979,4834.71,695
North Carolina,Jan 24 2022,20904,4785.71,694
North Carolina,Jan 23 2022,20838,4722.43,693
North Carolina,Jan 22 2022,20781,4660.71,692
North Carolina,Jan 21 2022,20726,4604.43,691
North Carolina,Jan 20 2022,20645,4545.57,690
North Carolina,Jan 19 2022,20589,4473.14,689
