Trends in Number of COVID-19 Vaccinations in NC,,,,,,,,,,,
Date generated: Sat Mar 05 2022 21:16:57 GMT-0500 (Eastern Standard Time),,,,,,,,,,,
Date Type,Date,Location,Total Doses Administered Daily,Daily Count People Receiving Dose 1,People Receiving 1 or More Doses Cumulative,Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People Fully Vaccinated Cumulative,Daily Count People Receiving a Booster Dose,People Receiving a Booster Dose Cumulative,Day
Admin,12/14/2020,NC,35,35,78,N/A,0,11,0,0,288
Admin,12/15/2020,NC,864,837,915,N/A,0,11,0,0,289
Admin,12/16/2020,NC,3258,3205,4120,N/A,1,12,0,0,290
Admin,12/17/2020,NC,4331,4297,8417,N/A,0,12,0,0,291
Admin,12/18/2020,NC,10038,10001,18418,N/A,2,14,0,0,292
Admin,12/19/2020,NC,4545,4527,22945,N/A,2,16,0,0,293
Admin,12/20/2020,NC,4486,4457,27402,N/A,3,19,0,0,294
Admin,12/21/2020,NC,10716,10683,38085,N/A,3,22,0,0,295
Admin,12/22/2020,NC,13216,13158,51243,N/A,6,28,0,0,296
Admin,12/23/2020,NC,15292,15254,66497,N/A,7,35,0,0,297
Admin,12/24/2020,NC,3500,3486,69983,N/A,1,36,0,0,298
Admin,12/25/2020,NC,0,0,69983,N/A,0,36,0,0,299
Admin,12/26/2020,NC,2256,2255,72238,N/A,0,36,0,0,300
Admin,12/27/2020,NC,1621,1619,73857,N/A,0,36,0,0,301
Admin,12/28/2020,NC,15266,15233,89090,N/A,7,43,0,0,302
Admin,12/29/2020,NC,18871,18758,107848,N/A,12,55,0,0,303
Admin,12/30/2020,NC,20534,20445,128293,N/A,21,76,0,0,304
Admin,12/31/2020,NC,12460,12404,140697,N/A,26,102,0,0,305
Admin,1/1/2021,NC,574,570,141267,N/A,11,113,0,0,306
Admin,1/2/2021,NC,5204,5177,146444,N/A,6,119,0,0,307
Admin,1/3/2021,NC,3434,3395,149839,N/A,36,155,0,0,308
Admin,1/4/2021,NC,14870,14202,164041,N/A,652,807,0,0,309
Admin,1/5/2021,NC,20660,18768,182809,N/A,1828,2635,0,0,310
Admin,1/6/2021,NC,33774,29169,211978,N/A,4449,7084,0,0,311
Admin,1/7/2021,NC,36675,29802,241780,N/A,6797,13881,0,0,312
Admin,1/8/2021,NC,30690,21287,263067,N/A,9198,23079,0,0,313
Admin,1/9/2021,NC,10798,6991,270058,N/A,3752,26831,0,0,314
Admin,1/10/2021,NC,6245,3822,273880,N/A,2389,29220,0,0,315
Admin,1/11/2021,NC,35137,25827,299707,N/A,9123,38343,0,0,316
Admin,1/12/2021,NC,45738,37409,337116,N/A,8220,46563,0,0,317
Admin,1/13/2021,NC,46003,38407,375523,N/A,7365,53928,0,0,318
Admin,1/14/2021,NC,46954,42593,418116,N/A,4101,58029,0,0,319
Admin,1/15/2021,NC,44911,39939,458055,N/A,4726,62755,0,0,320
Admin,1/16/2021,NC,19662,18135,476190,N/A,1462,64217,0,0,321
Admin,1/17/2021,NC,11379,9895,486085,N/A,1434,65651,0,0,322
Admin,1/18/2021,NC,25130,20488,506573,N/A,4587,70238,0,0,323
Admin,1/19/2021,NC,56103,46793,553366,N/A,9090,79328,0,0,324
Admin,1/20/2021,NC,66423,57158,610524,N/A,8905,88233,0,0,325
Admin,1/21/2021,NC,68881,62954,673478,N/A,5371,93604,0,0,326
Admin,1/22/2021,NC,72974,67517,740995,N/A,5034,98638,0,0,327
Admin,1/23/2021,NC,42373,39514,780509,N/A,2615,101253,0,0,328
Admin,1/24/2021,NC,18863,17548,798057,N/A,1185,102438,0,0,329
Admin,1/25/2021,NC,50694,36798,834855,N/A,13602,116040,0,0,330
Admin,1/26/2021,NC,57361,38066,872921,N/A,19165,135205,0,0,331
Admin,1/27/2021,NC,57968,39152,912073,N/A,18404,153609,0,0,332
Admin,1/28/2021,NC,50747,33208,945281,N/A,17297,170906,0,0,333
Admin,1/29/2021,NC,55645,38778,984059,N/A,16636,187542,0,0,334
Admin,1/30/2021,NC,31648,23737,1007796,N/A,7790,195332,0,0,335
Admin,1/31/2021,NC,15682,13418,1021214,N/A,2207,197539,0,0,336
Admin,2/1/2021,NC,39350,19925,1041139,N/A,19239,216778,0,0,337
Admin,2/2/2021,NC,49625,22820,1063959,N/A,26300,243078,0,0,338
Admin,2/3/2021,NC,61536,31231,1095190,N/A,29913,272991,0,0,339
Admin,2/4/2021,NC,74698,42549,1137739,N/A,31930,304921,0,0,340
Admin,2/5/2021,NC,74246,41466,1179205,N/A,32291,337212,0,0,341
Admin,2/6/2021,NC,43827,26845,1206050,N/A,16546,353758,0,0,342
Admin,2/7/2021,NC,11060,4592,1210642,N/A,6105,359863,0,0,343
Admin,2/8/2021,NC,47520,22199,1232841,N/A,24922,384785,0,0,344
Admin,2/9/2021,NC,56409,16211,1249052,N/A,40105,424890,0,0,345
Admin,2/10/2021,NC,78186,29899,1278951,N/A,47582,472472,0,0,346
Admin,2/11/2021,NC,90156,45284,1324235,N/A,44042,516514,0,0,347
Admin,2/12/2021,NC,103783,51987,1376222,N/A,50580,567094,0,0,348
Admin,2/13/2021,NC,60905,34397,1410619,N/A,25209,592303,0,0,349
Admin,2/14/2021,NC,21469,8032,1418651,N/A,12401,604704,0,0,350
Admin,2/15/2021,NC,51558,20339,1438990,N/A,30877,635581,0,0,351
Admin,2/16/2021,NC,55736,12954,1451944,N/A,42221,677802,0,0,352
Admin,2/17/2021,NC,65143,20745,1472689,N/A,43731,721533,0,0,353
Admin,2/18/2021,NC,40389,12963,1485652,N/A,27359,748892,0,0,354
Admin,2/19/2021,NC,62596,17878,1503530,N/A,44193,793085,0,0,355
Admin,2/20/2021,NC,37080,14244,1517774,N/A,22491,815576,0,0,356
Admin,2/21/2021,NC,10425,3871,1521645,N/A,6319,821895,0,0,357
Admin,2/22/2021,NC,44429,15446,1537091,N/A,28890,850785,0,0,358
Admin,2/23/2021,NC,47340,17468,1554559,N/A,29638,880423,0,0,359
Admin,2/24/2021,NC,87182,51826,1606385,N/A,34674,915097,0,0,360
Admin,2/25/2021,NC,90672,61536,1667921,N/A,28835,943932,0,0,361
Admin,2/26/2021,NC,105173,71481,1739402,N/A,32797,976729,0,0,362
Admin,2/27/2021,NC,69547,45898,1785300,N/A,21878,998607,0,0,363
Admin,2/28/2021,NC,25244,13970,1799270,N/A,9868,1008475,0,0,364
Admin,3/1/2021,NC,61424,40088,1839358,N/A,21234,1029709,0,0,365
Admin,3/2/2021,NC,62144,35400,1874758,N/A,26688,1056397,0,0,366
Admin,3/3/2021,NC,91273,58516,1933274,N/A,32346,1088743,0,0,367
Admin,3/4/2021,NC,100758,72324,2005598,N/A,28872,1117615,0,0,368
Admin,3/5/2021,NC,107671,75847,2081445,N/A,34943,1152558,0,0,369
Admin,3/6/2021,NC,63990,43490,2124935,N/A,23375,1175933,0,0,370
Admin,3/7/2021,NC,21869,18973,2143908,N/A,3938,1179871,0,0,371
Admin,3/8/2021,NC,70922,47999,2191907,N/A,27578,1207449,0,0,372
Admin,3/9/2021,NC,72425,46045,2237952,N/A,34170,1241619,0,0,373
Admin,3/10/2021,NC,114950,81633,2319585,N/A,42946,1284565,0,0,374
Admin,3/11/2021,NC,131144,101287,2420872,N/A,44029,1328594,0,0,375
Admin,3/12/2021,NC,124950,76095,2496967,N/A,60373,1388967,0,0,376
Admin,3/13/2021,NC,70842,41943,2538910,N/A,43099,1432066,0,0,377
